10000000	6.2915E-5
20000000	2.678E-6
30000000	9.94E-7
40000000	8.71E-7
50000000	8.53E-7
60000000	7.76E-7
70000000	8.85E-7
80000000	7.6E-7
90000000	6.67E-7
100000000	7.49E-7
110000000	7.96E-7
120000000	8.22E-7
130000000	7.65E-7
140000000	8.05E-7
150000000	7.78E-7
160000000	9.18E-7
170000000	9.5E-7
180000000	7.72E-7
190000000	8.6E-7
200000000	7.33E-7
210000000	8.62E-7
220000000	6.87E-7
230000000	1.173E-6
240000000	1.053E-6
250000000	7.34E-7
260000000	7.02E-7
270000000	8.52E-7
280000000	7.77E-7
290000000	8.02E-7
300000000	8.72E-7
310000000	8.1E-7
320000000	8.79E-7
330000000	7.94E-7
340000000	1.663E-6
350000000	7.74E-7
360000000	7.75E-7
370000000	7.58E-7
380000000	7.13E-7
390000000	1.04E-6
400000000	7.24E-7
410000000	7.19E-7
420000000	7.76E-7
430000000	7.21E-7
440000000	1.135E-6
450000000	7.45E-7
460000000	7.6E-7
470000000	7.5E-7
480000000	8.17E-7
490000000	6.74E-7
500000000	6.88E-7
510000000	7.07E-7
520000000	6.77E-7
530000000	7.42E-7
540000000	7.04E-7
550000000	8.92E-7
560000000	7.02E-7
570000000	7.74E-7
580000000	2.4255E-5
590000000	8.56E-7
600000000	8.24E-7
610000000	7.44E-7
620000000	7.36E-7
630000000	8.65E-7
640000000	8.3E-7
650000000	7.76E-7
660000000	7.48E-7
670000000	6.92E-7
680000000	7.46E-7
690000000	6.79E-7
700000000	6.41E-7
710000000	7.37E-7
720000000	7.26E-7
730000000	6.69E-7
740000000	7.66E-7
750000000	8.05E-7
760000000	7.59E-7
770000000	7.27E-7
780000000	6.55E-7
790000000	7.3E-7
800000000	6.54E-7
810000000	7.12E-7
820000000	7.31E-7
830000000	8.9E-7
840000000	6.76E-7
850000000	7.5E-7
860000000	7.44E-7
870000000	8.07E-7
880000000	7.61E-7
890000000	7.38E-7
900000000	7.19E-7
910000000	8.44E-7
920000000	8.58E-7
930000000	8.58E-7
940000000	7.69E-7
950000000	7.66E-7
960000000	6.42E-7
970000000	6.85E-7
980000000	6.59E-7
990000000	7.35E-7
1000000000	7.12E-7
