1	2.081E-6
2	8.28E-7
3	6.13E-7
4	6.37E-7
5	8.1E-7
6	1.066E-6
7	1.525E-6
8	4.528E-6
9	1.4422E-5
10	8.719E-6
11	1.1006E-5
12	1.5615E-5
13	2.4209E-5
14	1.5048E-5
15	8.157E-6
16	2.0675E-5
17	1.8211E-5
18	2.8839E-5
19	4.5287E-5
20	7.3766E-5
21	1.19163E-4
22	1.92337E-4
23	3.1127E-4
24	2.29892E-4
25	3.68868E-4
26	5.98994E-4
27	0.00100657
28	0.001766838
29	0.002736941
30	0.003918631
31	0.00622854
32	0.010253169
33	0.016609108
34	0.027537484
35	0.040587391
36	0.05659836
37	0.090991371
38	0.146671753
39	0.236129735
40	0.379186836
